# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_rap //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHC1p1.yoda/MC_BC/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_rap //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHC1p1.yoda/MC_BC/h_rap
RatioPlotReference=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_rap
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
XLabel=$p_\perp$
YLabel=d$\sigma$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_rap
ScaledBy=6.94404838323250573e+00
Title=LHCBc
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	3.472024e+01	3.472025e+01	3.472025e+01
-7.200000e+00	-7.000000e+00	5.902440e+02	1.431552e+02	1.431552e+02
-7.000000e+00	-6.800000e+00	1.458250e+03	2.250129e+02	2.250129e+02
-6.800000e+00	-6.600000e+00	2.222095e+03	2.777619e+02	2.777619e+02
-6.600000e+00	-6.400000e+00	2.256816e+03	2.799236e+02	2.799236e+02
-6.400000e+00	-6.200000e+00	2.187375e+03	2.755834e+02	2.755834e+02
-6.200000e+00	-6.000000e+00	2.465137e+03	2.925579e+02	2.925579e+02
-6.000000e+00	-5.800000e+00	2.812339e+03	3.124822e+02	3.124822e+02
-5.800000e+00	-5.600000e+00	2.951220e+03	3.201048e+02	3.201048e+02
-5.600000e+00	-5.400000e+00	3.020661e+03	3.238488e+02	3.238488e+02
-5.400000e+00	-5.200000e+00	3.784506e+03	3.624900e+02	3.624900e+02
-5.200000e+00	-5.000000e+00	3.228982e+03	3.348299e+02	3.348299e+02
-5.000000e+00	-4.800000e+00	4.270589e+03	3.850661e+02	3.850661e+02
-4.800000e+00	-4.600000e+00	5.624680e+03	4.419165e+02	4.419165e+02
