# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BC/h_rap
ScaledBy=2.34412100942780999e+04
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+00	4.200000e+00	1.406472e+06	4.060137e+05	4.060137e+05
4.200000e+00	4.400000e+00	3.516181e+05	2.030068e+05	2.030068e+05
4.400000e+00	4.600000e+00	4.688242e+05	2.344121e+05	2.344121e+05
4.600000e+00	4.800000e+00	1.172060e+05	1.172060e+05	1.172060e+05
4.800000e+00	5.000000e+00	4.688242e+05	2.344121e+05	2.344121e+05
5.000000e+00	5.200000e+00	1.172060e+05	1.172060e+05	1.172060e+05
5.200000e+00	5.400000e+00	1.172060e+05	1.172060e+05	1.172060e+05
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	1.172060e+05	1.172060e+05	1.172060e+05
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	1.172060e+05	1.172060e+05	1.172060e+05
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

