# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_rap_3p1
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_rap_3p1
LogY=0
XLabel=$p_\perp$
YLabel=d$\sigma[pb]$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_rap_3p1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_rap_3p1
ScaledBy=7.72365751438828596e+01
Title=LHCtogether
# xlow	 xhigh	 val	 errminus	 errplus
3.800000e+00	4.000000e+00	1.158548e+03	6.688883e+02	6.688883e+02
4.000000e+00	4.200000e+00	1.544731e+03	7.723657e+02	7.723657e+02
4.200000e+00	4.400000e+00	1.544731e+03	7.723657e+02	7.723657e+02
4.400000e+00	4.600000e+00	1.158549e+03	6.688883e+02	6.688883e+02
4.600000e+00	4.800000e+00	1.158548e+03	6.688884e+02	6.688884e+02
4.800000e+00	5.000000e+00	3.861829e+02	3.861829e+02	3.861829e+02
5.000000e+00	5.200000e+00	3.861829e+02	3.861829e+02	3.861829e+02
5.200000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.600000e+00	7.723655e+02	5.461451e+02	5.461451e+02
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	1.158548e+03	6.688884e+02	6.688884e+02
6.000000e+00	6.200000e+00	1.158548e+03	6.688884e+02	6.688884e+02
6.200000e+00	6.400000e+00	3.861828e+02	3.861829e+02	3.861829e+02
6.400000e+00	6.600000e+00	3.861829e+02	3.861829e+02	3.861829e+02
6.600000e+00	6.800000e+00	3.861828e+02	3.861829e+02	3.861829e+02
6.800000e+00	7.000000e+00	3.861829e+02	3.861829e+02	3.861829e+02
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

