# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_1p1 //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_1p1
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_1p1 //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_1p1
RatioPlotReference=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_1p1
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
XLabel=$p_\perp$
YLabel=d$\sigma[pb]$
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_1p1
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHCtogether.yoda/MC_BC/h_rap_1p1
ScaledBy=7.69481462752931407e+01
Title=P and S-wave
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.200000e+00	1.154222e+03	6.663905e+02	6.663905e+02
2.200000e+00	2.400000e+00	1.923704e+03	8.603063e+02	8.603063e+02
2.400000e+00	2.600000e+00	7.694815e+02	5.441057e+02	5.441057e+02
2.600000e+00	2.800000e+00	1.538963e+03	7.694815e+02	7.694815e+02
2.800000e+00	3.000000e+00	1.923703e+03	8.603065e+02	8.603065e+02
3.000000e+00	3.200000e+00	1.923704e+03	8.603065e+02	8.603065e+02
3.200000e+00	3.400000e+00	7.694815e+02	5.441057e+02	5.441057e+02
3.400000e+00	3.600000e+00	1.923703e+03	8.603065e+02	8.603065e+02
3.600000e+00	3.800000e+00	1.154222e+03	6.663905e+02	6.663905e+02
3.800000e+00	4.000000e+00	3.847407e+02	3.847407e+02	3.847407e+02
4.000000e+00	4.200000e+00	3.847408e+02	3.847407e+02	3.847407e+02
4.200000e+00	4.400000e+00	3.847407e+02	3.847408e+02	3.847408e+02
4.400000e+00	4.600000e+00	1.538963e+03	7.694815e+02	7.694815e+02
4.600000e+00	4.800000e+00	1.538963e+03	7.694815e+02	7.694815e+02
4.800000e+00	5.000000e+00	1.154222e+03	6.663905e+02	6.663905e+02
5.000000e+00	5.200000e+00	7.694815e+02	5.441055e+02	5.441055e+02
5.200000e+00	5.400000e+00	7.694815e+02	5.441055e+02	5.441055e+02
5.400000e+00	5.600000e+00	3.847407e+02	3.847407e+02	3.847407e+02
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	3.847407e+02	3.847407e+02	3.847407e+02
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	7.694815e+02	5.441055e+02	5.441055e+02
6.600000e+00	6.800000e+00	3.847407e+02	3.847408e+02	3.847408e+02
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	3.847407e+02	3.847408e+02	3.847408e+02
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_1p1
LineColor=blue
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/rivet-plots-primary-particles/LHC_sum.yoda/MC_BC/h_rap_1p1
ScaledBy=7.69481462752931407e+01
Title=P-wave
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	3.847408e+02	3.847407e+02	3.847407e+02
-6.600000e+00	-6.400000e+00	3.847407e+02	3.847407e+02	3.847407e+02
-6.400000e+00	-6.200000e+00	3.847407e+02	3.847407e+02	3.847407e+02
-6.200000e+00	-6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.000000e+00	-5.800000e+00	1.154222e+03	6.663905e+02	6.663905e+02
-5.800000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.400000e+00	3.847407e+02	3.847408e+02	3.847408e+02
-5.400000e+00	-5.200000e+00	1.538963e+03	7.694815e+02	7.694815e+02
-5.200000e+00	-5.000000e+00	1.154222e+03	6.663905e+02	6.663905e+02
-5.000000e+00	-4.800000e+00	7.694815e+02	5.441057e+02	5.441057e+02
-4.800000e+00	-4.600000e+00	7.694815e+02	5.441055e+02	5.441055e+02
-4.600000e+00	-4.400000e+00	1.538963e+03	7.694815e+02	7.694815e+02
-4.400000e+00	-4.200000e+00	3.847407e+02	3.847407e+02	3.847407e+02
-4.200000e+00	-4.000000e+00	1.154222e+03	6.663905e+02	6.663905e+02
-4.000000e+00	-3.800000e+00	2.308444e+03	9.424184e+02	9.424184e+02
-3.800000e+00	-3.600000e+00	1.154222e+03	6.663905e+02	6.663905e+02
-3.600000e+00	-3.400000e+00	3.847407e+02	3.847407e+02	3.847407e+02
-3.400000e+00	-3.200000e+00	7.694815e+02	5.441055e+02	5.441055e+02
-3.200000e+00	-3.000000e+00	7.694815e+02	5.441055e+02	5.441055e+02
-3.000000e+00	-2.800000e+00	1.154222e+03	6.663905e+02	6.663905e+02
-2.800000e+00	-2.600000e+00	2.693185e+03	1.017928e+03	1.017928e+03
-2.600000e+00	-2.400000e+00	1.923703e+03	8.603065e+02	8.603065e+02
-2.400000e+00	-2.200000e+00	1.923704e+03	8.603063e+02	8.603063e+02
-2.200000e+00	-2.000000e+00	1.538963e+03	7.694815e+02	7.694815e+02
-2.000000e+00	-1.800000e+00	2.308444e+03	9.424184e+02	9.424184e+02
-1.800000e+00	-1.600000e+00	1.538963e+03	7.694815e+02	7.694815e+02
-1.600000e+00	-1.400000e+00	1.538963e+03	7.694815e+02	7.694815e+02
-1.400000e+00	-1.200000e+00	3.847408e+02	3.847407e+02	3.847407e+02
-1.200000e+00	-1.000000e+00	2.693185e+03	1.017928e+03	1.017928e+03
-1.000000e+00	-8.000000e-01	1.923704e+03	8.603065e+02	8.603065e+02
-8.000000e-01	-6.000000e-01	3.462666e+03	1.154222e+03	1.154222e+03
-6.000000e-01	-4.000000e-01	3.847408e+03	1.216657e+03	1.216657e+03
-4.000000e-01	-2.000000e-01	2.693184e+03	1.017928e+03	1.017928e+03
-2.000000e-01	0.000000e+00	2.308444e+03	9.424186e+02	9.424186e+02
0.000000e+00	2.000000e-01	1.154222e+03	6.663905e+02	6.663905e+02
2.000000e-01	4.000000e-01	1.538963e+03	7.694815e+02	7.694815e+02
4.000000e-01	6.000000e-01	1.923704e+03	8.603065e+02	8.603065e+02
6.000000e-01	8.000000e-01	1.538963e+03	7.694815e+02	7.694815e+02
8.000000e-01	1.000000e+00	2.308445e+03	9.424184e+02	9.424184e+02
1.000000e+00	1.200000e+00	1.538963e+03	7.694815e+02	7.694815e+02
1.200000e+00	1.400000e+00	1.154222e+03	6.663905e+02	6.663905e+02
1.400000e+00	1.600000e+00	2.308444e+03	9.424186e+02	9.424186e+02
1.600000e+00	1.800000e+00	5.001630e+03	1.387202e+03	1.387202e+03
1.800000e+00	2.000000e+00	1.923704e+03	8.603065e+02	8.603065e+02
2.000000e+00	2.200000e+00	1.154222e+03	6.663905e+02	6.663905e+02
2.200000e+00	2.400000e+00	1.923704e+03	8.603063e+02	8.603063e+02
2.400000e+00	2.600000e+00	7.694815e+02	5.441057e+02	5.441057e+02
2.600000e+00	2.800000e+00	1.538963e+03	7.694815e+02	7.694815e+02
2.800000e+00	3.000000e+00	1.923703e+03	8.603065e+02	8.603065e+02
3.000000e+00	3.200000e+00	1.923704e+03	8.603065e+02	8.603065e+02
3.200000e+00	3.400000e+00	7.694815e+02	5.441057e+02	5.441057e+02
3.400000e+00	3.600000e+00	1.923703e+03	8.603065e+02	8.603065e+02
3.600000e+00	3.800000e+00	1.154222e+03	6.663905e+02	6.663905e+02
3.800000e+00	4.000000e+00	3.847407e+02	3.847407e+02	3.847407e+02
4.000000e+00	4.200000e+00	3.847408e+02	3.847407e+02	3.847407e+02
4.200000e+00	4.400000e+00	3.847407e+02	3.847408e+02	3.847408e+02
4.400000e+00	4.600000e+00	1.538963e+03	7.694815e+02	7.694815e+02
4.600000e+00	4.800000e+00	1.538963e+03	7.694815e+02	7.694815e+02
4.800000e+00	5.000000e+00	1.154222e+03	6.663905e+02	6.663905e+02
5.000000e+00	5.200000e+00	7.694815e+02	5.441055e+02	5.441055e+02
5.200000e+00	5.400000e+00	7.694815e+02	5.441055e+02	5.441055e+02
5.400000e+00	5.600000e+00	3.847407e+02	3.847407e+02	3.847407e+02
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	3.847407e+02	3.847407e+02	3.847407e+02
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	7.694815e+02	5.441055e+02	5.441055e+02
6.600000e+00	6.800000e+00	3.847407e+02	3.847408e+02	3.847408e+02
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	3.847407e+02	3.847408e+02	3.847408e+02
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

